Document Date,Document Number,Type,Is Credit,Brakes Code,Product / Ingredient,Qty Case,Unit Price,Net Value,Category,Subcategory,PO,Source
2024-07-18,9335022713,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,2,11.08,22.16,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-07-23,9335024882,INVOICE,No,118561,Alpro Simply Plain                1x500g,12,2.15,25.8,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-07-23,9335024882,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,11.08,11.08,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-07-27,9335027277,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,2,11.08,22.16,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-08-03,9335029832,INVOICE,No,118561,Alpro Simply Plain                1x500g,12,2.15,25.8,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-08-03,9335029832,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,11.08,11.08,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-08-06,9335030231,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,4,11.08,44.32,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-08-13,9335033086,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,2.15,6.45,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-08-24,9335037597,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,11.08,11.08,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-09-26,9335052575,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,11.08,11.08,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-09-28,9335054103,INVOICE,No,118561,Alpro Simply Plain                1x500g,4,1.5,6,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-10-01,9335054765,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,1.5,4.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-10-01,9335054765,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-10-05,9335058099,INVOICE,No,118561,Alpro Simply Plain                1x500g,2,1.5,3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-10-05,9335058099,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-10-12,9335061377,INVOICE,No,118561,Alpro Simply Plain                1x500g,5,1.5,7.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-10-12,9335061379,INVOICE,No,118561,Alpro Simply Plain                1x500g,5,1.5,7.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-10-12,9335061377,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-10-12,9335061379,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-10-26,9335068320,INVOICE,No,118561,Alpro Simply Plain                1x500g,2,1.5,3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-11-14,9335076936,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.5,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-11-14,9335076936,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-11-19,9335079588,INVOICE,No,118561,Alpro Simply Plain                1x500g,7,1.5,10.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-11-19,9335079588,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-11-21,9335081120,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-11-30,9335085800,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.5,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-12-03,9335087126,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-12-07,9335090170,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-12-12,9335092659,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.5,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-12-14,9335094135,INVOICE,No,118561,Alpro Simply Plain                1x500g,8,1.5,12,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-12-14,9335094135,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2024-12-17,9335094867,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.5,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-01-09,9335102845,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-01-14,9335104999,INVOICE,No,118561,Alpro Simply Plain                1x500g,2,1.5,3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-01-16,9335106532,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,1.5,4.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-01-16,9335106532,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-01-25,9335111384,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-02-08,9335118694,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.79,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-02-11,9335119526,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.5,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
