Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-07-18,9335022713,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,2,,11.08,0.00%,22.16,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-07-23,9335024882,INVOICE,118561,Alpro Simply Plain                1x500g,12,,2.15,0.00%,25.8,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-07-23,9335024882,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,11.08,0.00%,11.08,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-07-27,9335027277,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,2,,11.08,0.00%,22.16,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-08-03,9335029832,INVOICE,118561,Alpro Simply Plain                1x500g,12,,2.15,0.00%,25.8,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-08-03,9335029832,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,11.08,0.00%,11.08,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-08-06,9335030231,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,4,,11.08,0.00%,44.32,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-08-13,9335033086,INVOICE,118561,Alpro Simply Plain                1x500g,3,,2.15,0.00%,6.45,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-08-24,9335037597,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,11.08,0.00%,11.08,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-09-26,9335052575,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,11.08,0.00%,11.08,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-09-28,9335054103,INVOICE,118561,Alpro Simply Plain                1x500g,4,,1.5,0.00%,6,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-10-01,9335054765,INVOICE,118561,Alpro Simply Plain                1x500g,3,,1.5,0.00%,4.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
