Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-07-13,9335020409,INVOICE,122924,Meredith&Drew Biscuit Assort Minipk 4x25,1,,16.99,0.00%,16.99,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-07-20,9335024027,INVOICE,118256,Crawfords Biscuits Minipack3       1x100,3,,26.13,0.00%,78.39,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-07-23,9335024882,INVOICE,85184,Brakes Digestive Rounds          12x300g,2,,10.16,0.00%,20.32,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-07-25,9335026186,INVOICE,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,,14.61,0.00%,14.61,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-07-25,9335026186,INVOICE,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,,14.61,0.00%,14.61,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-07-27,9335027277,INVOICE,4618,Bronte Traditnl Minipack Assorted  100x2,2,,17.99,0.00%,35.98,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-07-27,9335027277,INVOICE,122924,Meredith&Drew Biscuit Assort Minipk 4x25,1,,16.99,0.00%,16.99,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-07-27,9335027277,INVOICE,116227,Nairns G/F Oat Cracker              1x60,1,,12.81,0.00%,12.81,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-07-27,9335027277,INVOICE,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,,14.61,0.00%,14.61,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-07-27,9335027277,INVOICE,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,,14.61,0.00%,14.61,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-08-06,9335030231,INVOICE,85184,Brakes Digestive Rounds          12x300g,1,,10.16,0.00%,10.16,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-08-06,9335030231,INVOICE,118256,Crawfords Biscuits Minipack3       1x100,2,,26.13,0.00%,52.26,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-08-06,9335030231,INVOICE,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,,14.61,0.00%,14.61,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-08-06,9335030231,INVOICE,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,1,,14.61,0.00%,14.61,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-08-13,9335033086,INVOICE,135284,Nairns GF Choc Chip Biscuit Break 48x30g,1,,14.61,0.00%,14.61,Biscuits,Biscuits & cookies,,Invoice CSV,
2024-08-13,9335033086,INVOICE,135285,Nairns GF Mixed Oat Biscuit Break 48x30g,2,,14.61,0.00%,29.22,Biscuits,Biscuits & cookies,,Invoice CSV,
