Order ID,Site ID,Site,Status,Supplier,Created,Confirmed,Delivery,Delivered,Del. Note Ref.,Order (£),Confirmation (£),Delivery (£),Delivered (£),Order Sent,Delivery Note Received On,Invoice Gross (£),Invoice No.,Invoice Paid on,Document Type,Customer PO,Signed Amount (£)
BRAKES-9335435845,9999,The Vedanta,Invoice,Brakes,7/11/26 0:00,,7/11/26 0:00,7/11/26 0:00,EC29078285,737.09,,,737.09,7/11/26 0:00,,737.09,9335435845,,Invoice - Head Office,EC29078285,737.09
BRAKES-9335432074,9999,The Vedanta,Invoice,Brakes,7/7/26 0:00,,7/7/26 0:00,7/7/26 0:00,EC28983626,362.75,,,362.75,7/7/26 0:00,,362.75,9335432074,,Invoice - Head Office,EC28983626,362.75
BRAKES-5509236132,9999,The Vedanta,Credit,Brakes,7/3/26 0:00,,7/3/26 0:00,,,,,,,7/3/26 0:00,,14.86,5509236132,,Credits - Head Office,,-14.86
BRAKES-9335429024,9999,The Vedanta,Invoice,Brakes,7/2/26 0:00,,7/2/26 0:00,7/2/26 0:00,EC28939252,729.72,,,729.72,7/2/26 0:00,,729.72,9335429024,,Invoice - Head Office,EC28939252,729.72
BRAKES-5509233216,9999,The Vedanta,Credit,Brakes,7/1/26 0:00,,7/1/26 0:00,,,,,,,7/1/26 0:00,,5.39,5509233216,,Credits - Head Office,,-5.39
BRAKES-7335014339,9999,The Vedanta,Credit,Brakes,7/1/26 0:00,,7/1/26 0:00,,,,,,,7/1/26 0:00,,24.25,7335014339,,Credits - Head Office,,-24.25
BRAKES-9335427052,9999,The Vedanta,Invoice,Brakes,6/30/26 0:00,,6/30/26 0:00,6/30/26 0:00,EC28899092,601.36,,,601.36,6/30/26 0:00,,601.36,9335427052,,Invoice - Head Office,EC28899092,601.36
BRAKES-7335014312,9999,The Vedanta,Credit,Brakes,6/30/26 0:00,,6/30/26 0:00,,,,,,,6/30/26 0:00,,84.29,7335014312,,Credits - Head Office,,-84.29
BRAKES-5509223803,9999,The Vedanta,Credit,Brakes,6/26/26 0:00,,6/26/26 0:00,,,,,,,6/26/26 0:00,,10.11,5509223803,,Credits - Head Office,,-10.11
BRAKES-9335423979,9999,The Vedanta,Invoice,Brakes,6/25/26 0:00,,6/25/26 0:00,6/25/26 0:00,EC28788556,208.73,,,208.73,6/25/26 0:00,,208.73,9335423979,,Invoice - Head Office,EC28788556,208.73
