Date,Weekday,Invoices,Credits,Net,Invoice count,Credit count,Documents
2024-07-13,Saturday,598.95,0.0,598.95,1,0,1
2024-07-18,Thursday,178.63,0.0,178.63,1,0,1
2024-07-20,Saturday,962.89,0.0,962.89,1,0,1
2024-07-23,Tuesday,1373.25,0.0,1373.25,1,0,1
2024-07-25,Thursday,523.44,0.0,523.44,2,0,2
2024-07-27,Saturday,929.21,0.0,929.21,5,0,5
2024-07-30,Tuesday,731.69,0.0,731.69,2,0,2
2024-08-03,Saturday,651.86,0.0,651.86,1,0,1
2024-08-06,Tuesday,615.04,0.0,615.04,1,0,1
2024-08-07,Wednesday,0.0,7.67,-7.67,0,1,1
2024-08-08,Thursday,615.95,0.0,615.95,1,0,1
2024-08-13,Tuesday,1366.52,0.0,1366.52,1,0,1
2024-08-15,Thursday,416.2,0.0,416.2,1,0,1
2024-08-17,Saturday,257.87,38.99,218.88,1,1,2
2024-08-22,Thursday,1546.8899999999999,0.0,1546.8899999999999,5,0,5
2024-08-24,Saturday,534.15,0.0,534.15,1,0,1
2024-08-27,Tuesday,305.22,0.0,305.22,2,0,2
2024-08-29,Thursday,90.16,0.0,90.16,1,0,1
2024-09-14,Saturday,366.11,0.0,366.11,1,0,1
2024-09-19,Thursday,206.55,0.0,206.55,1,0,1
2024-09-26,Thursday,395.99000000000007,0.0,395.99000000000007,3,0,3
2024-09-28,Saturday,287.14,0.0,287.14,1,0,1
2024-10-01,Tuesday,834.2199999999999,0.0,834.2199999999999,4,0,4
2024-10-03,Thursday,155.55,0.0,155.55,1,0,1
2024-10-05,Saturday,230.27999999999997,0.0,230.27999999999997,2,0,2
2024-10-10,Thursday,0.0,31.78,-31.78,0,1,1
2024-10-12,Saturday,1876.71,75.54,1801.17,4,1,5
2024-10-15,Tuesday,162.71,0.0,162.71,1,0,1
2024-10-17,Thursday,442.22,0.0,442.22,3,0,3
2024-10-18,Friday,0.0,31.32,-31.32,0,1,1
2024-10-22,Tuesday,534.36,0.0,534.36,5,0,5
2024-10-24,Thursday,605.72,0.0,605.72,2,0,2
2024-10-26,Saturday,123.53999999999999,0.0,123.53999999999999,2,0,2
2024-10-31,Thursday,668.45,0.0,668.45,1,0,1
2024-11-02,Saturday,351.71,0.0,351.71,1,0,1
2024-11-07,Thursday,916.9,0.0,916.9,1,0,1
2024-11-09,Saturday,403.76,0.0,403.76,1,0,1
