Category,Subcategory,Invoice Net,Credit Net,Net Spend,Line Count
Plant-based milk,Plant cream / barista alternative,877.1,22.86,854.24,43
Plant-based milk,Plant-based milk / barista drink,3234.819999999999,383.7,2851.119999999999,164
Alpro yoghurt,Alpro yoghurt,1026.64,19.86,1006.78,106
Yoghurt & milk,Dairy milk,3788.580000000002,110.7,3677.880000000002,148
Yoghurt & milk,Dairy yoghurt,3711.229999999996,147.31,3563.919999999997,196
Yoghurt & milk,Plant yoghurt (non-Alpro),20.49,0,20.49,1
Biscuits,Biscuits & cookies,6575.7,133.09,6442.61,231
Biscuits,Snack bars / biscuits,10.22,0,10.22,1
Drinks,Fruit juice,1870.78,70.24,1800.54,97
Drinks,Soft drinks / cordial,98.47000000000001,9.35,89.12000000000002,10
Drinks,Water,456.32,25.68,430.64,29
Non-food,Catering disposables & cleaning,3978.000000000001,61.59,3916.410000000001,234
Other food,Other food,107316.4400000002,2569.940000000001,104746.5000000001,4163
