Document Date,Document Number,Type,Is Credit,Amount,Signed Amount,Account,PO,Customer
2024-07-13,9335020409,Invoice - Head Office,No,598.95,598.95,1832142,,The Vedanta Way Ltd
2024-07-18,9335022713,Invoice - Head Office,No,178.63,178.63,1832142,,The Vedanta Way Ltd
2024-07-20,9335024027,Invoice - Head Office,No,962.89,962.89,1832142,,The Vedanta Way Ltd
2024-07-23,9335024882,Invoice - Head Office,No,1373.25,1373.25,1832142,,The Vedanta Way Ltd
2024-07-25,9335026185,Invoice - Head Office,No,113.58,113.58,1832142,,The Vedanta Way Ltd
2024-07-25,9335026186,Invoice - Head Office,No,409.86,409.86,1832142,,The Vedanta Way Ltd
2024-07-27,9335027273,Invoice - Head Office,No,56,56,1832142,,The Vedanta Way Ltd
2024-07-27,9335027274,Invoice - Head Office,No,50.96,50.96,1832142,,The Vedanta Way Ltd
2024-07-27,9335027275,Invoice - Head Office,No,164.31,164.31,1832142,,The Vedanta Way Ltd
2024-07-27,9335027276,Invoice - Head Office,No,18.75,18.75,1832142,,The Vedanta Way Ltd
2024-07-27,9335027277,Invoice - Head Office,No,639.19,639.19,1832142,,The Vedanta Way Ltd
2024-07-30,9335027920,Invoice - Head Office,No,689.22,689.22,1832142,,The Vedanta Way Ltd
2024-07-30,9335027921,Invoice - Head Office,No,42.47,42.47,1832142,,The Vedanta Way Ltd
2024-08-03,9335029832,Invoice - Head Office,No,651.86,651.86,1832142,,The Vedanta Way Ltd
2024-08-06,9335030231,Invoice - Head Office,No,615.04,615.04,1832142,,The Vedanta Way Ltd
2024-08-07,5508311924,Credits - Head Office,Yes,7.67,-7.67,1832142,,The Vedanta Way Ltd
2024-08-08,9335031479,Invoice - Head Office,No,615.95,615.95,1832142,,The Vedanta Way Ltd
2024-08-13,9335033086,Invoice - Head Office,No,1366.52,1366.52,1832142,,The Vedanta Way Ltd
2024-08-15,9335034096,Invoice - Head Office,No,416.2,416.2,1832142,EC18682001,The Vedanta Way Ltd
2024-08-17,5508325254,Credits - Head Office,Yes,38.99,-38.99,1832142,,The Vedanta Way Ltd
2024-08-17,9335035051,Invoice - Head Office,No,257.87,257.87,1832142,EC18704951,The Vedanta Way Ltd
