Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-08-03,9335029832,INVOICE,100244,Brakes The Juice Apple           12x1ltr,2,,11.8,20.00%,23.6,Drinks,Fruit juice,,Invoice CSV,
2024-08-13,9335033086,INVOICE,100243,Brakes The Juice Orange         12x1ltr,2,,14.99,20.00%,29.98,Drinks,Fruit juice,,Invoice CSV,
2024-08-15,9335034096,INVOICE,126825,Coconut Water Natural        1x12x1Ltr,1,,26.49,20.00%,26.49,Drinks,Water,,Invoice CSV,
2024-08-15,9335034096,INVOICE,84693,Priory F Still Water PET F/Cap  24x500ml,2,,4.72,20.00%,9.44,Drinks,Water,,Invoice CSV,
2024-09-28,9335054103,INVOICE,10287,Grapefruit Pink BB                  Each,15,,0.57,0.00%,8.55,Drinks,Fruit juice,,Invoice CSV,
2024-10-01,9335054765,INVOICE,100244,Brakes The Juice Apple           12x1ltr,1,,9.51,20.00%,9.51,Drinks,Fruit juice,,Invoice CSV,
2024-10-12,9335061377,INVOICE,100243,Brakes The Juice Orange         12x1ltr,1,,15.89,20.00%,15.89,Drinks,Fruit juice,,Invoice CSV,
2024-10-12,9335061379,INVOICE,100243,Brakes The Juice Orange         12x1ltr,1,,15.89,20.00%,15.89,Drinks,Fruit juice,,Invoice CSV,
2024-10-17,9335064139,INVOICE,100244,Brakes The Juice Apple           12x1ltr,2,,9.51,20.00%,19.02,Drinks,Fruit juice,,Invoice CSV,
2024-10-31,9335070101,INVOICE,87800,Bottlegreen Elderflower Cordial  6x500ml,1,,16.98,20.00%,16.98,Drinks,Soft drinks / cordial,,Invoice CSV,
2024-11-09,9335074567,INVOICE,87800,Bottlegreen Elderflower Cordial  6x500ml,1,,16.98,20.00%,16.98,Drinks,Soft drinks / cordial,,Invoice CSV,
2024-11-09,9335074567,INVOICE,104268,Carters Diet Lemonade             8x2ltr,1,,6.26,20.00%,6.26,Drinks,Soft drinks / cordial,,Invoice CSV,
2024-11-09,9335074567,INVOICE,101584,Evian Mineral Water              12x1ltr,1,,9.35,20.00%,9.35,Drinks,Water,,Invoice CSV,
2024-11-14,9335076936,INVOICE,26448,Brakes The Juice Cranberry         12x1L,2,,18.42,20.00%,36.84,Drinks,Fruit juice,,Invoice CSV,
2024-11-14,9335076936,INVOICE,128790,Kulana Pineapple Juice       1x12x1ltr,1,,19,20.00%,19,Drinks,Fruit juice,,Invoice CSV,
2024-11-16,9335078789,INVOICE,128345,Evian Still Natural Mineral Water 8x1.5L,1,,7.41,20.00%,7.41,Drinks,Water,,Invoice CSV,
2024-11-21,9335081120,INVOICE,100243,Brakes The Juice Orange         12x1ltr,1,,15.89,20.00%,15.89,Drinks,Fruit juice,,Invoice CSV,
2024-11-23,9335082234,INVOICE,100243,Brakes The Juice Orange         12x1ltr,1,,15.89,20.00%,15.89,Drinks,Fruit juice,,Invoice CSV,
2024-11-23,9335082234,INVOICE,84693,Priory F Still Water PET F/Cap  24x500ml,2,,5.23,20.00%,10.46,Drinks,Water,,Invoice CSV,
2024-11-30,9335085800,INVOICE,705,H/Spring Still Water      24x330ml GLASS,3,,10,20.00%,30,Drinks,Water,,Invoice CSV,
2024-12-03,9335087126,INVOICE,23734,Hydrolife British Water Flatcap 24x500ml,2,,4.67,20.00%,9.34,Drinks,Water,,Invoice CSV,
2024-12-07,9335090169,INVOICE,102622,Carters Star Lemonade             8x2ltr,2,,6.26,20.00%,12.52,Drinks,Soft drinks / cordial,,Invoice CSV,
2024-12-07,9335090169,INVOICE,84693,Priory F Still Water PET F/Cap  24x500ml,2,,5.23,20.00%,10.46,Drinks,Water,,Invoice CSV,
2024-12-12,9335092658,INVOICE,100244,Brakes The Juice Apple           12x1ltr,2,,9.51,20.00%,19.02,Drinks,Fruit juice,,Invoice CSV,
