Metric,Value
Food invoice lines,5070
Food credit lines,113
All food purchase lines (invoice + credit),5189
Unique food products bought,968
Food products with a real price change,453
Total real price-change events,971
Food products ending HIGHER than first price,333
Food products ending LOWER than first price,114
Food invoice spend £,128986.79
Food credits £,-3492.73
Food net spend £,132479.52

Brakes Code,Product,Category,Times ordered,First £,Last £,Times changed,Change %,Direction,Net spend £,Price history
135327,Tofoo Co Organic Naked Tofu        1x1kg,Other food,89,5.68,5.34,3,-5.99,DOWN,6023.18,£5.68 (2024-07-18) → £5.22 (2024-09-28) → £5.28 (2025-04-10) → £5.34 (2025-10-04)
110930,Paneer Cheese                      900g,Other food,65,7.32,6.28,3,-14.21,DOWN,4153.6,£7.32 (2024-08-06) → £5.03 (2024-10-12) → £6.85 (2025-05-10) → £6.28 (2025-10-11)
70325,Brakes Whole Milk (Blue)     RT  6x2.27L,Yoghurt & milk,129,10.49,10.6,5,1.05,UP,3729.98,£10.49 (2024-07-18) → £10.58 (2024-09-28) → £11.28 (2025-04-10) → £11.45 (2025-10-04) → £10.71 (2026-01-08) → £10.60 (2026-03-31)
67485,Delifrance Vegan Croissant (19401)  1x56,Other food,54,22.46,22.89,8,1.91,UP,2305.15,£22.46 (2024-07-18) → £21.99 (2024-07-30) → £22.46 (2024-09-26) → £21.99 (2024-10-01) → £22.46 (2024-11-02) → £21.99 (2025-02-08) → £22.46 (2025-03-01) → £22.60 (2025-10-07) → £22.89 (2026-07-11)
100535,Brakes Pure Maple Syrup           1x620g,Other food,43,11.51,12.16,4,5.65,UP,1949.34,£11.51 (2024-08-29) → £11.73 (2025-04-10) → £11.80 (2025-10-04) → £12.02 (2026-03-31) → £12.16 (2026-07-02)
136997,Beyond Meat Beyond Mince   1x4kg,Other food,29,44.2,40.57,8,-8.21,DOWN,1792.65,£44.20 (2024-11-23) → £44.78 (2025-04-10) → £39.99 (2025-07-22) → £35.99 (2025-08-14) → £44.78 (2025-09-25) → £45.06 (2025-10-16) → £40.57 (2026-01-15) → £36.99 (2026-02-24) → £40.57 (2026-05-21)
146135,Walkers Assortd Biscuit Mini Pck 100x25g,Biscuits,48,19.14,21.52,4,12.43,UP,1790.38,£19.14 (2024-11-07) → £20.44 (2025-05-03) → £20.58 (2025-10-04) → £21.23 (2026-03-31) → £21.52 (2026-06-30)
85753,KTC Vegetable Cooking Oil        1x20ltr,Other food,42,26.85,33.47,6,24.66,UP,1778.34,£26.85 (2024-08-03) → £27.50 (2024-10-12) → £30.16 (2025-02-06) → £30.52 (2025-04-10) → £31.46 (2025-10-14) → £33.04 (2026-05-16) → £33.47 (2026-07-11)
127622,Beyond Meat Vegan Burger   1x40,Other food,19,64.07,58.24,7,-9.1,DOWN,1746.03,£64.07 (2025-06-05) → £54.99 (2025-07-22) → £64.07 (2025-09-02) → £64.43 (2025-10-21) → £57.52 (2026-01-13) → £54.99 (2026-02-24) → £57.52 (2026-06-06) → £58.24 (2026-06-30)
114931,Wholesome Farms Greek Style Yogurt 1x5kg,Yoghurt & milk,64,10.73,16.1,4,50.05,UP,1717.18,£10.73 (2024-07-30) → £14.19 (2024-10-01) → £15.70 (2025-04-17) → £15.77 (2025-10-04) → £16.10 (2026-03-31)
129927,Sysco ClassicOlive Pomace Oil Blend 5ltr,Other food,68,13.89,16.12,7,16.05,UP,1664.11,£13.89 (2024-07-18) → £16.98 (2024-07-30) → £17.63 (2024-10-03) → £17.78 (2025-01-09) → £15.98 (2025-04-12) → £16.05 (2025-10-04) → £15.90 (2026-04-09) → £16.12 (2026-06-30)
74046,Sysco Classc Grtd Mild Whte Cheddr 5x1kg,Other food,30,37.39,34.49,6,-7.76,DOWN,1613.47,£37.39 (2024-07-30) → £38.51 (2024-10-01) → £40.86 (2024-11-30) → £40.22 (2025-04-10) → £41.29 (2025-10-11) → £34.09 (2026-02-19) → £34.49 (2026-07-02)
74088,Unsalted Butter   (70055)        20x250g,Other food,32,42.47,41.85,7,-1.46,DOWN,1475.68,£42.47 (2024-07-27) → £38.16 (2024-10-01) → £38.69 (2024-11-26) → £40.21 (2025-01-18) → £41.30 (2025-04-10) → £42.53 (2025-05-08) → £40.38 (2025-07-08) → £41.85 (2025-10-23)
151872,Global Hacienda Avocado Halves     1x1kg,Other food,36,6.11,5.49,6,-10.15,DOWN,1364.62,£6.11 (2024-09-28) → £6.18 (2025-04-10) → £5.39 (2025-05-13) → £6.18 (2025-06-05) → £4.99 (2025-10-07) → £6.18 (2025-11-04) → £5.49 (2025-11-27)
148660,Ubley Low Fat Natural Yogurt      1x5kg,Yoghurt & milk,56,12.02,12.74,3,5.99,UP,1285.27,£12.02 (2024-07-13) → £12.52 (2025-04-10) → £12.59 (2025-10-21) → £12.74 (2026-07-11)
6437,Sysco Classic Chop Toms in Juice   2.5kg,Other food,44,3.39,2.99,2,-11.8,DOWN,1280.56,£3.39 (2024-07-23) → £3.19 (2024-10-12) → £2.99 (2025-11-29)
30925,Brake Rosti Potato Fritters          1kg,Other food,23,5.68,5.82,4,2.46,UP,1221.33,£5.68 (2024-10-31) → £5.75 (2025-04-12) → £5.61 (2025-10-04) → £5.75 (2026-05-09) → £5.82 (2026-07-02)
117887,Ethanol Chafing Gel 2.5hr           1x12,Other food,17,10.72,10.43,4,-2.71,DOWN,1116.16,£10.72 (2024-11-21) → £10.86 (2025-05-31) → £10.94 (2025-10-23) → £10.29 (2026-04-11) → £10.43 (2026-07-02)
111313,Roasted Red Peppers              1x2.5kg,Other food,29,6.18,6.04,3,-2.27,DOWN,1104.48,£6.18 (2024-08-13) → £6.33 (2025-04-29) → £6.40 (2025-10-16) → £6.04 (2026-05-09)
591902,The Tofoo Co. Lightly Spice Pieces 2x1kg,Other food,3,22.74,22.89,1,0.66,UP,1072.98,£22.74 (2025-06-14) → £22.89 (2026-03-17)
131778,McCain OC Hash Browns              1x1kg,Other food,26,4.1,3.95,5,-3.66,DOWN,1058.85,£4.10 (2024-08-15) → £4.02 (2025-01-23) → £2.99 (2025-06-03) → £2.75 (2025-11-18) → £2.99 (2026-01-29) → £3.95 (2026-04-09)
149957,Meadowland Double 1x1ltr,Other food,56,2.99,3.59,14,20.07,UP,1050.37,£2.99 (2024-07-23) → £4.53 (2024-07-30) → £3.49 (2024-08-13) → £2.99 (2024-10-01) → £3.53 (2025-01-14) → £2.99 (2025-03-20) → £3.59 (2025-05-15) → £2.49 (2025-06-03) → £2.99 (2025-07-12) → £3.49 (2025-09-13) → £2.49 (2025-10-07) → £2.99 (2025-11-06) → £2.49 (2026-01-29) → £2.99 (2026-03-17) → £3.59 (2026-03-31)
129803,Flora Professional Plant      8x1ltr,Plant-based milk,6,31.1,33.9,5,9.0,UP,1001.54,£31.10 (2025-01-23) → £28.99 (2025-02-06) → £33.69 (2025-04-24) → £33.90 (2025-11-20) → £26.99 (2026-02-19) → £33.90 (2026-05-28)
4300,Sysco Classic Naan Bread         24x100g,Other food,42,8.7,8.06,4,-7.36,DOWN,993.71,£8.70 (2024-07-20) → £7.23 (2024-10-01) → £7.33 (2025-05-13) → £7.38 (2025-10-04) → £8.06 (2026-04-16)
115072,Amoy Coconut Milk (85833)       12x400ml,Other food,15,25.48,17.28,3,-32.18,DOWN,964.32,£25.48 (2024-07-27) → £16.94 (2024-10-12) → £17.18 (2025-06-03) → £17.28 (2025-11-13)
135284,Nairns GF Choc Chip Biscuit Break 48x30g,Biscuits,37,14.61,15.76,2,7.87,UP,935.32,£14.61 (2024-07-25) → £15.69 (2025-05-03) → £15.76 (2025-11-04)
134491,Greek Feta Cheese                 1x900g,Other food,30,10.36,11.49,4,10.91,UP,923.76,£10.36 (2024-08-17) → £13.17 (2024-10-05) → £13.31 (2025-04-10) → £13.38 (2025-10-04) → £11.49 (2026-05-23)
5002473,Nairns Gluten Free Biscuits         1x48,Biscuits,28,16.7,16.77,1,0.42,UP,904.25,£16.70 (2025-05-13) → £16.77 (2025-10-11)
133687,Macphie Plant Based Crm Alternative 1x1L,Plant-based milk,42,3.74,3.88,2,3.74,UP,899.96,£3.74 (2024-07-23) → £3.81 (2025-04-12) → £3.88 (2026-06-30)
149906,Elda Ricotta Cheese 1x1.5kg,Other food,31,11.22,11.58,3,3.21,UP,886.56,£11.22 (2024-08-22) → £11.37 (2025-04-12) → £11.44 (2025-10-11) → £11.58 (2026-06-30)
78252,Butter Portions                    6x100,Other food,22,34.09,34.79,7,2.05,UP,842.58,£34.09 (2024-07-13) → £38.49 (2024-10-01) → £37.99 (2024-12-14) → £40.69 (2025-01-28) → £40.99 (2025-05-10) → £41.19 (2025-10-23) → £36.29 (2026-01-29) → £34.79 (2026-04-09)
119648,Market Mix Olives (whole)   1x1kg,Other food,37,8.78,11.15,4,26.99,UP,800.13,£8.78 (2024-11-09) → £8.92 (2025-04-10) → £8.99 (2025-10-07) → £11.01 (2026-04-09) → £11.15 (2026-06-30)
563,Brakes Haricot Beans               1x3kg,Other food,20,7.19,8.34,4,15.99,UP,743.2,£7.19 (2024-08-22) → £14.25 (2024-12-10) → £13.74 (2025-04-26) → £13.82 (2025-10-25) → £8.34 (2026-07-02)
118225,Royal Crw BlackTurtle Bean n Wtr 1x2.5kg,Other food,28,2.87,2.94,3,2.44,UP,741.43,£2.87 (2024-07-23) → £3.09 (2025-01-21) → £3.81 (2025-04-10) → £2.94 (2025-10-25)
11127,Unsalted Butter                  40x250g,Other food,11,75.79,59.99,3,-20.85,DOWN,715.59,£75.79 (2025-07-19) → £76.19 (2025-10-11) → £62.49 (2026-01-31) → £59.99 (2026-04-18)
75805,Wholesome Farms HF Greek Style Yog 1x5kg,Other food,15,17.31,28.19,6,62.85,UP,687.68,£17.31 (2024-08-03) → £21.15 (2025-04-10) → £14.99 (2025-07-01) → £21.15 (2025-07-29) → £21.31 (2025-10-04) → £27.79 (2026-03-31) → £28.19 (2026-07-11)
2041,LaBo Double Chocolate Doughnuts    1x40,Other food,15,13.03,26.2,6,101.07,UP,612.05,£13.03 (2024-07-27) → £22.82 (2024-09-28) → £13.94 (2024-10-01) → £14.39 (2025-05-17) → £14.47 (2025-11-15) → £25.84 (2026-05-09) → £26.20 (2026-07-07)
74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,Alpro yoghurt,51,11.08,9.96,3,-10.11,DOWN,607.3,£11.08 (2024-07-18) → £9.79 (2024-10-01) → £9.90 (2025-04-12) → £9.96 (2025-10-11)
4111,Brake Fruits Of The Forest Mix       1kg,Other food,19,6.18,4.6,4,-25.57,DOWN,606.22,£6.18 (2024-07-20) → £3.35 (2024-10-15) → £3.58 (2025-05-22) → £4.25 (2025-10-11) → £4.60 (2026-05-16)
26896,Walkers Shortbread Fingers       240x20g,Biscuits,9,50.61,53.06,2,4.84,UP,575.15,£50.61 (2025-01-11) → £52.77 (2025-04-17) → £53.06 (2026-02-14)
127121,Coconut Milk CASE               12x400ml,Other food,13,11.56,15.03,3,30.02,UP,553.99,£11.56 (2025-03-13) → £12.43 (2025-04-10) → £15.74 (2025-10-07) → £15.03 (2026-05-02)
71250,Goats Cheese Log                   1x1kg,Other food,21,13.46,13.82,4,2.67,UP,540.02,£13.46 (2024-08-24) → £12.95 (2024-10-31) → £13.60 (2025-04-24) → £13.67 (2025-11-06) → £13.82 (2026-07-11)
119105,Mango Pulp                        1x850g,Other food,21,2.73,2.73,0,0.0,SAME,521.43,£2.73 (2024-11-19)
148602,Redefine Plant Premium Burger 4x8x140g,Other food,7,54.5,46.99,4,-13.78,DOWN,511.91,£54.50 (2024-11-23) → £48.99 (2024-12-07) → £49.99 (2025-01-28) → £29.99 (2025-04-12) → £46.99 (2025-05-24)
33385,Diced Mango                        1x1kg,Other food,35,7.41,3.33,4,-55.06,DOWN,508.92,£7.41 (2024-08-13) → £2.85 (2024-11-19) → £3.02 (2025-04-24) → £3.14 (2025-10-23) → £3.33 (2026-04-09)
130709,Halloumi                          6x750g,Other food,8,46.07,46.36,1,0.63,UP,508.22,£46.07 (2025-05-10) → £46.36 (2025-10-07)
31526,Ubley Fruit N Crm Yogurt Mixd    12x150g,Yoghurt & milk,40,6.18,6.49,3,5.02,UP,466.21,£6.18 (2024-10-05) → £6.47 (2025-04-10) → £6.54 (2025-11-20) → £6.49 (2026-06-06)
134323,Sysco Classic Vegan Mayonnaise  1x5L,Other food,28,12.95,14.18,4,9.5,UP,461.59,£12.95 (2024-08-17) → £13.02 (2024-10-12) → £13.89 (2025-04-10) → £13.67 (2025-10-23) → £14.18 (2026-05-23)
