Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-07-23,9335024882,INVOICE,84811,Duni White Napkin 33cm 2 ply      1x2000,3,,31.31,20.00%,93.93,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-07-23,9335024882,INVOICE,89840,Galvan Heavy Duty Scourer 828/40    1x10,5,,1.9,20.00%,9.5,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-07-23,9335024882,INVOICE,85549,Large Clear Vinyl Gloves Pwd GD47L 1x100,1,,5.19,20.00%,5.19,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-07-23,9335024882,INVOICE,8932,Small Blue Vinyl Glove Pwdr GD11S 1x100,1,,4.89,20.00%,4.89,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-07-23,9335024882,INVOICE,125122,Sponge Scourer                      1x10,5,,1.48,20.00%,7.4,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-07-23,9335024882,INVOICE,85547,Vinyl Gloves Clear Med  Pwd GD47M  1x100,1,,5.19,20.00%,5.19,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-07-25,9335026186,INVOICE,122912,Blue Nitrile Gloves Lg GN90L       1x200,3,,10.29,20.00%,30.87,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-07-25,9335026186,INVOICE,122911,Blue Nitrile PF Glove Med GN90M    1x200,2,,10.29,20.00%,20.58,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-08-06,9335030231,INVOICE,119329,Shield Blue Rubber Gloves Med GR03M 1x12,1,,6.39,20.00%,6.39,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-08-07,5508311924,CREDIT,119329,Shield Blue Rubber Gloves Med GR03M 1x12,1,,6.39,20.00%,-6.39,Non-food,Catering disposables & cleaning,,Credit PDF,9335030231
2024-08-13,9335033086,INVOICE,122912,Blue Nitrile Gloves Lg GN90L       1x200,1,,10.29,20.00%,10.29,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-08-13,9335033086,INVOICE,122911,Blue Nitrile PF Glove Med GN90M    1x200,1,,10.29,20.00%,10.29,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-08-13,9335033086,INVOICE,86520,Blue X Large Vinyl Glove Pwd GD11XL1x100,2,,4.89,20.00%,9.78,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-08-13,9335033086,INVOICE,125122,Sponge Scourer                      1x10,6,,1.48,20.00%,8.88,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-08-22,9335036680,INVOICE,84811,Duni White Napkin 33cm 2 ply      1x2000,1,,31.31,20.00%,31.31,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-09-26,9335052575,INVOICE,84811,Duni White Napkin 33cm 2 ply      1x2000,1,,31.31,20.00%,31.31,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-09-26,9335052576,INVOICE,86519,Blue Large Vinyl Gloves Pwd GD11L  1x100,1,,5.09,20.00%,5.09,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-09-26,9335052576,INVOICE,86518,Blue Medium Vinyl Gloves Pwd GD11M 1x100,1,,4.79,20.00%,4.79,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-09-26,9335052576,INVOICE,86520,Blue X Large Vinyl Glove Pwd GD11XL1x100,1,,4.89,20.00%,4.89,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-01,9335054766,INVOICE,118983,Dissolve A Way Shelf Life Label CE 1x250,2,,10.86,20.00%,21.72,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-12,9335061376,INVOICE,86519,Blue Large Vinyl Gloves Pwd GD11L  1x100,1,,5.09,20.00%,5.09,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-12,9335061376,INVOICE,86518,Blue Medium Vinyl Gloves Pwd GD11M 1x100,1,,4.79,20.00%,4.79,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-12,9335061376,INVOICE,86406,"Blue piping Bag 181x100Sp BAGS001""",1,,15.9,20.00%,15.9,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-12,9335061378,INVOICE,86520,Blue X Large Vinyl Glove Pwd GD11XL1x100,1,,4.89,20.00%,4.89,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-12,9335061378,INVOICE,88315,Brks 3Ply 40cm White Napkin  2x250Cs,1,,26.34,20.00%,26.34,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-12,9335061378,INVOICE,85549,Large Clear Vinyl Gloves Pwd GD47L 1x100,1,,5.19,20.00%,5.19,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-12,9335061378,INVOICE,85547,Vinyl Gloves Clear Med  Pwd GD47M  1x100,1,,5.19,20.00%,5.19,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-22,9335066224,INVOICE,88289,Brakes White 2ply Napkin 33cm 2x300,1,,12.02,20.00%,12.02,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-22,9335066224,INVOICE,89840,Galvan Heavy Duty Scourer 828/40    1x10,6,,2,20.00%,12,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-22,9335066224,INVOICE,85549,Large Clear Vinyl Gloves Pwd GD47L 1x100,1,,5.19,20.00%,5.19,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-22,9335066224,INVOICE,125128,Scrubbing Broom Head blue 30cm 1 x 1,2,,3.02,20.00%,6.04,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-22,9335066224,INVOICE,125122,Sponge Scourer                      1x10,4,,1.69,20.00%,6.76,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-10-22,9335066224,INVOICE,85547,Vinyl Gloves Clear Med  Pwd GD47M  1x100,1,,5.19,20.00%,5.19,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-07,9335073520,INVOICE,107389,24cm 2ply White Napkins  8x300,1,,49.24,20.00%,49.24,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-07,9335073520,INVOICE,86519,Blue Large Vinyl Gloves Pwd GD11L  1x100,1,,5.09,20.00%,5.09,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-07,9335073520,INVOICE,86520,Blue X Large Vinyl Glove Pwd GD11XL1x100,1,,4.89,20.00%,4.89,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-07,9335073520,INVOICE,88315,Brks 3Ply 40cm White Napkin  2x250Cs,2,,26.34,20.00%,52.68,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-14,9335076936,INVOICE,88289,Brakes White 2ply Napkin 33cm 2x300,1,,12.02,20.00%,12.02,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-14,9335076936,INVOICE,84811,Duni White Napkin 33cm 2 ply      1x2000,1,,37.58,20.00%,37.58,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-14,9335076936,INVOICE,15513,Migi Cling Film Cutter Box 30cmx300m x1,1,,5.25,20.00%,5.25,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-14,9335076936,INVOICE,135837,Wrapmaster PE Film Refill 30cmx300mx3,1,,18.93,20.00%,18.93,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-14,9335076936,INVOICE,129637,Wrapmaster baking parchment 30cmx35m 1x3,1,,19.22,20.00%,19.22,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-19,9335079588,INVOICE,125122,Sponge Scourer                      1x10,1,,1.69,20.00%,1.69,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-21,9335081120,INVOICE,132654,Flat Tape Handle Paper Bag Medium  1x250,1,,14.39,20.00%,14.39,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-23,9335082234,INVOICE,107389,24cm 2ply White Napkins  8x300,1,,49.24,20.00%,49.24,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-23,9335082235,INVOICE,118983,Dissolve A Way Shelf Life Label CE 1x250,2,,10.86,20.00%,21.72,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-26,9335083251,INVOICE,104446,DUNI White 3ply Napkin 40cm       1x1000,1,,32.82,20.00%,32.82,Non-food,Catering disposables & cleaning,,Invoice CSV,
2024-11-28,9335084443,INVOICE,107642,Migi CentreFeed Blue Wipe 380Sht150m 1X6,1,,15.9,20.00%,15.9,Non-food,Catering disposables & cleaning,,Invoice CSV,
