Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-07-13,9335020409,INVOICE,132671,Applewood Smoky Vegan Slices      1x200g,2,,2.43,0.00%,4.86,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,33829,"Brake 12 Thin & Crispy Pizza Base  1x18""",1,,17.27,0.00%,17.27,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,4768,Brake Cauliflower Florets 30-70mm  2.5kg,3,,6.62,0.00%,19.86,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,4794,Brake Diced Mixed Peppers (Rd/Grn) 1.5kg,4,,8.13,0.00%,32.52,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,301,Brakes Caster Sugar               1x25kg,1,,36.38,0.00%,36.38,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,74153,Brakes Margarine                     2kg,2,,4.38,0.00%,8.76,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,78252,Butter Portions                    6x100,1,,34.09,0.00%,34.09,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,128101,Cauldron Tofu                     6x396g,5,,13.24,0.00%,66.2,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,149597,Dr Oetker Prof GF Baking Powder   1x500g,3,,3.09,0.00%,9.27,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,350101,Icing Sugar (310)                  1x3kg,2,,6.22,0.00%,12.44,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,119645,Kalamata Olives (Whole)            1x1kg,2,,10.36,0.00%,20.72,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,31817,LaBo Banqueting Roll Selection      3x25,3,,15.62,0.00%,46.86,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,134915,LaBo Handcrafted Sourdough Roll     1x40,2,,18.99,0.00%,37.98,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,119646,Nocellara Olives (Whole)           1x1kg,2,,11.58,0.00%,23.16,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,34415,Penne Rigate                     4x2.5kg,1,,29.51,0.00%,29.51,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,33846,Sys Class 8 P/Apple Slices in Syrup 822g,2,,5.1,0.00%,10.2,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,5946,Sysco Classic Cornflour         1x3.5kg,2,,7.6,0.00%,15.2,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,4266,Sysco Classic Extra Thin Fries   4x2.5kg,4,,18.64,0.00%,74.56,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,33947,Sysco Premium Petit Pois           1.5kg,2,,5.9,0.00%,11.8,Other food,Other food,,Invoice CSV,
2024-07-13,9335020409,INVOICE,102078,Tilda Easy Cook Basmati Wild Rice  1x4kg,1,,22.24,0.00%,22.24,Other food,Other food,,Invoice CSV,
2024-07-18,9335022713,INVOICE,136157,Ardo Avocado Halves                1x1kg,6,,6.49,0.00%,38.94,Other food,Other food,,Invoice CSV,
2024-07-18,9335022713,INVOICE,67485,Delifrance Vegan Croissant (19401)  1x56,1,,22.46,0.00%,22.46,Other food,Other food,,Invoice CSV,
2024-07-18,9335022713,INVOICE,129927,Sysco ClassicOlive Pomace Oil Blend 5ltr,2,,13.89,0.00%,27.78,Other food,Other food,,Invoice CSV,
2024-07-18,9335022713,INVOICE,135327,Tofoo Co Organic Naked Tofu        1x1kg,10,,5.68,0.00%,56.8,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,87722,Black Ex Heavy Duty Sacks (PB114)  1x100,2,,22.31,20.00%,44.62,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,4111,Brake Fruits Of The Forest Mix       1kg,4,,6.18,0.00%,24.72,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,71256,Brake Mild Cheddar Chese Slice    1x500g,4,,8.29,0.00%,33.16,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,4793,Brake Sliced Mixed Peppers         1.5kg,6,,4.13,0.00%,24.78,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,35379,Brakes Tortilla Chips            14x475g,1,,25.04,0.00%,25.04,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,135233,Bridor Vegan RTB Cherry Crown       1x48,1,,29.15,0.00%,29.15,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,135232,Bridor Vegan RTB Orange HNut Crown  1x48,1,,26.49,0.00%,26.49,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,135231,Bridor Vegan RTB Vanilla HNut Crown 1x48,1,,26.7,0.00%,26.7,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,67485,Delifrance Vegan Croissant (19401)  1x56,3,,22.46,0.00%,67.38,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,133682,Dr Oetker Nat Sicilian Lem Extrct 6x35ml,1,,7.7,0.00%,7.7,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,133685,Dr Oetker Vanilla Extract         6x95ml,1,,21.66,0.00%,21.66,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,18421,G V Dairy Full Fat Soft Cheese 1x2kg,4,,8.61,0.00%,34.44,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,350101,Icing Sugar (310)                  1x3kg,4,,6.22,0.00%,24.88,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,4381,LaBo 10 Flour Tortillas           4x18,2,,11.58,0.00%,23.16,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,4300,LaBo Naan Bread                 24x100g,6,,8.7,0.00%,52.2,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,3625,"LaBo Sesame Seed Bun 5            1x48""",2,,8.2,0.00%,16.4,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,135584,Northwood Blue CFeed 2ply CL2B806EDS 1x6,3,,8.78,20.00%,26.34,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,13007,Peppers Red PK                       5kg,1,,16.65,0.00%,16.65,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,324,Plain Chocolate Drops              1x3kg,1,,19.72,0.00%,19.72,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,74597,Rowan Glen Low Fat Mix Tray      12x125g,2,,6.83,0.00%,13.66,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,526841,Set Soured Cream                   1x1kg,3,,4.31,0.00%,12.93,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,135419,Sheese Mature Cheddar Slice Vegan    1kg,2,,11.8,0.00%,23.6,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,121379,Sysco Classic Table Salt (33706)   1x6kg,1,,10.07,0.00%,10.07,Other food,Other food,,Invoice CSV,
2024-07-20,9335024027,INVOICE,135327,Tofoo Co Organic Naked Tofu        1x1kg,12,,5.68,0.00%,68.16,Other food,Other food,,Invoice CSV,
