Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-07-20,9335024027,INVOICE,118560,Alpro Oat Drink                    1litr,8,,1.94,0.00%,15.52,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-07-23,9335024882,INVOICE,113655,ALPRO Coconut For Professionals   1x1ltr,12,,2.01,0.00%,24.12,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-07-23,9335024882,INVOICE,148578,Alpro Barista Oat          12x1ltr,1,,21.3,0.00%,21.3,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-07-23,9335024882,INVOICE,133687,Macphie Plant Based Crm Alternative 1x1L,1,,3.74,0.00%,3.74,Plant-based milk,Plant cream / barista alternative,,Invoice CSV,
2024-07-25,9335026186,INVOICE,113654,ALPRO Soya For Professionals      1x1ltr,12,,1.41,0.00%,16.92,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-07-27,9335027277,INVOICE,113654,ALPRO Soya For Professionals      1x1ltr,12,,1.41,0.00%,16.92,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-07-27,9335027277,INVOICE,148578,Alpro Barista Oat          12x1ltr,1,,21.3,0.00%,21.3,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-08-03,9335029832,INVOICE,118560,Alpro Oat Drink                    1litr,12,,1.94,0.00%,23.28,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-08-13,9335033086,INVOICE,113655,ALPRO Coconut For Professionals   1x1ltr,12,,2.01,0.00%,24.12,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-08-13,9335033086,INVOICE,128154,Alpro Soya Wholebean Unsweetened 8x1Ltr,1,,14.54,0.00%,14.54,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-08-13,9335033086,INVOICE,133687,Macphie Plant Based Crm Alternative 1x1L,1,,3.74,0.00%,3.74,Plant-based milk,Plant cream / barista alternative,,Invoice CSV,
2024-08-22,9335036680,INVOICE,113655,ALPRO Coconut For Professionals   1x1ltr,5,,2.01,0.00%,10.05,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-08-22,9335036680,INVOICE,126335,Alpro Almond For Professionals  12x1ltr,2,,21.3,0.00%,42.6,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-08-22,9335036680,INVOICE,128154,Alpro Soya Wholebean Unsweetened 8x1Ltr,1,,14.54,0.00%,14.54,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-08-24,9335037597,INVOICE,133687,Macphie Plant Based Crm Alternative 1x1L,6,,3.74,0.00%,22.44,Plant-based milk,Plant cream / barista alternative,,Invoice CSV,
2024-09-19,9335049185,INVOICE,133687,Macphie Plant Based Crm Alternative 1x1L,6,,3.74,0.00%,22.44,Plant-based milk,Plant cream / barista alternative,,Invoice CSV,
2024-09-26,9335052575,INVOICE,128154,Alpro Soya Wholebean Unsweetened 8x1Ltr,1,,14.54,0.00%,14.54,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-10-12,9335061377,INVOICE,113655,ALPRO Coconut For Professionals   1x1ltr,12,,1.74,0.00%,20.88,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
2024-10-12,9335061377,INVOICE,113654,ALPRO Soya For Professionals      1x1ltr,1,,1.46,0.00%,1.46,Plant-based milk,Plant-based milk / barista drink,,Invoice CSV,
