Metric,Value
Invoice line items analysed,5297
Unique products ordered,1039
Products ordered only once (no comparison possible),426
Products with stable price (never changed),554
Products with at least 1 price change,485
Total price-change events (how many times prices moved),1026
Products ending HIGHER than first price,360
Products ending LOWER than first price,119
Products that changed but ended at same as first,6

Brakes Code,Product,Times changed,First £,Last £,Change %,Direction,Spend £
149957,Meadowland Double 1x1ltr,14,2.99,3.59,20.07,UP,1050.37
136997,Beyond Meat Beyond Mince   1x4kg,8,44.2,40.57,-8.21,DOWN,1755.66
67485,Delifrance Vegan Croissant (19401)  1x56,8,22.46,22.89,1.91,UP,2261.17
129927,Sysco ClassicOlive Pomace Oil Blend 5ltr,7,13.89,16.12,16.05,UP,1664.11
127622,Beyond Meat Vegan Burger   1x40,7,64.07,58.24,-9.1,DOWN,1746.03
78252,Butter Portions                    6x100,7,34.09,34.79,2.05,UP,842.58
86520,Blue X Large Vinyl Glove Pwd GD11XL1x100,7,4.89,4.79,-2.04,DOWN,89.63
74088,Unsalted Butter   (70055)        20x250g,7,42.47,41.85,-1.46,DOWN,1395.09
2041,LaBo Double Chocolate Doughnuts    1x40,6,13.03,26.2,101.07,UP,612.05
75805,Wholesome Farms HF Greek Style Yog 1x5kg,6,17.31,28.19,62.85,UP,687.68
71256,Brake Mild Cheddar Chese Slice    1x500g,6,8.29,3.65,-55.97,DOWN,411.41
85753,KTC Vegetable Cooking Oil        1x20ltr,6,26.85,33.47,24.66,UP,1778.34
100244,Brakes The Juice Apple           12x1ltr,6,11.8,14.32,21.36,UP,361.93
4599,Sysco Essential Garden Peas      1x2.5kg,6,4.53,3.97,-12.36,DOWN,363.27
100243,Brakes The Juice Orange         12x1ltr,6,14.99,16.79,12.01,UP,410.27
151032,Schwartz Cracked Black Pepper 1x380g,6,7.26,8.13,11.98,UP,180.77
151872,Global Hacienda Avocado Halves     1x1kg,6,6.11,5.49,-10.15,DOWN,1309.72
74046,Sysco Classc Grtd Mild Whte Cheddr 5x1kg,6,37.39,34.49,-7.76,DOWN,1613.47
152434,Sysco The Juice Orange           12x1ltr,6,17.59,17.19,-2.27,DOWN,258.85
149522,Black Nitrile Gloves Lrg GL897L    1x100,5,4.69,7.29,55.44,UP,126.97
149521,Black Nitrile Gloves Med GL897M    1x100,5,4.69,7.29,55.44,UP,90.04
35379,Brakes Tortilla Chips            14x475g,5,25.04,32.9,31.39,UP,422.89
148781,Global Hacienda Soya Beans         1x1kg,5,5.39,3.88,-28.01,DOWN,278.21
151084,Flora Plant Butter Unsalted 24x200g,5,24.99,31.1,24.45,UP,222.21
133966,PG Tips Envelopes                 1x1000,5,47.58,56.44,18.62,UP,362.8
129304,Ocean Spray Cranberry Classic    12x1ltr,5,14.61,16.7,14.31,UP,156.72
151969,MOMA Barista Professnl Oat 12x1ltr,5,14.99,16.99,13.34,UP,127.13
187060,Cocont Col Double Cream  6x400g,5,16.91,14.99,-11.35,DOWN,307.8
149038,DrSchar GF & V White Sandwich Loaf   1x6,5,26.92,23.99,-10.88,DOWN,375.32
129803,Flora Professional Plant      8x1ltr,5,31.1,33.9,9.0,UP,662.54
350101,Icing Sugar (310)                  1x3kg,5,6.22,5.93,-4.66,DOWN,192.53
131778,McCain OC Hash Browns              1x1kg,5,4.1,3.95,-3.66,DOWN,1055.86
84472,Tilda Arborio Risotto Rice         1x5Kg,5,18.5,18.14,-1.95,DOWN,206.4
151289,Arla Pro Gouda Cheese Slices 1x1kg,5,8.06,8.2,1.74,UP,155.77
15514,Migi EWide Cling Film45cmx300 32C13  1x1,5,7.39,7.49,1.35,UP,347.62
70325,Brakes Whole Milk (Blue)     RT  6x2.27L,5,10.49,10.6,1.05,UP,3619.28
33385,Diced Mango                        1x1kg,4,7.41,3.33,-55.06,DOWN,508.92
13381,Sysco Classic Red Kidney Beans   1x2.5kg,4,2.77,4.27,54.15,UP,344.04
114931,Wholesome Farms Greek Style Yogurt 1x5kg,4,10.73,16.1,50.05,UP,1669.94
28326,Sysco Classic Tomato Paste 1x800g (KC1),4,3.88,2.18,-43.81,DOWN,314.64
3840,Brake Whole Spinach Ptn (350038)   2.5kg,4,6.18,3.6,-41.75,DOWN,399.63
22053,Sysco Classc Mozz Shredded Cheese  1x2kg,4,13.31,9.24,-30.58,DOWN,366.31
149914,Granarolo Grtd Italian Hrd Chse 1x500g,4,7.99,10.43,30.54,UP,456.79
21856,Prep Premium Toasted Sesame Oil   1x1ltr,4,12.02,8.43,-29.87,DOWN,442.59
119648,Market Mix Olives (whole)   1x1kg,4,8.78,11.15,26.99,UP,778.11
4111,Brake Fruits Of The Forest Mix       1kg,4,6.18,4.6,-25.57,DOWN,570.42
