Category,Subcategory,Brakes Code,Product,Invoice Net,Credit Net,Net,Lines
Plant-based milk,Plant cream / barista alternative,133687,Macphie Plant Based Crm Alternative 1x1L,877.1,22.86,854.24,43
Plant-based milk,Plant-based milk / barista drink,129803,Flora Professional Plant      8x1ltr,662.54,339,323.54,7
Plant-based milk,Plant-based milk / barista drink,113655,ALPRO Coconut For Professionals   1x1ltr,293.19,0,293.19,19
Plant-based milk,Plant-based milk / barista drink,128154,Alpro Soya Wholebean Unsweetened 8x1Ltr,252.1499999999999,0,252.1499999999999,13
Plant-based milk,Plant-based milk / barista drink,126335,Alpro Almond For Professionals  12x1ltr,209.27,0,209.27,9
Plant-based milk,Plant-based milk / barista drink,148578,Alpro Barista Oat          12x1ltr,224.99,22.89,202.1,11
Plant-based milk,Plant-based milk / barista drink,109618,Alpro Original Soya Sweetened       8x1L,176.13,0,176.13,13
Plant-based milk,Plant-based milk / barista drink,149369,Framptons Prof Oat Barista Drink 12x1ltr,146.63,0,146.63,8
Plant-based milk,Plant-based milk / barista drink,132776,Alpro Oat Barista Gluten Free    12x1ltr,153.09,21.81,131.28,8
Plant-based milk,Plant-based milk / barista drink,151969,MOMA Barista Professnl Oat 12x1ltr,127.13,0,127.13,7
Plant-based milk,Plant-based milk / barista drink,118560,Alpro Oat Drink                    1litr,125.79,0,125.79,9
Plant-based milk,Plant-based milk / barista drink,150143,Plenish Barista Oat         6x1ltr,121.04,0,121.04,6
Plant-based milk,Plant-based milk / barista drink,135454,Minor Figures Barista Oat     6x1ltr,103.77,0,103.77,8
Plant-based milk,Plant-based milk / barista drink,150144,Plenish Barista Almond          6x1ltr,99.58,0,99.58,5
Plant-based milk,Plant-based milk / barista drink,150142,Plenish Barista Soya        6x1ltr,96.44,0,96.44,5
Plant-based milk,Plant-based milk / barista drink,113654,ALPRO Soya For Professionals      1x1ltr,88.78,0,88.78,9
Plant-based milk,Plant-based milk / barista drink,132777,Alpro Oat No Sugars               8x1ltr,81.67,0,81.67,6
