Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-07-13,9335020409,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,4,,12.02,0.00%,48.08,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-07-18,9335022713,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,1,,10.49,0.00%,10.49,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-07-20,9335024027,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,6,,10.49,0.00%,62.94,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-07-20,9335024027,INVOICE,103605,Coolicious Frozen Yoghurt  Mango 1x4ltr,4,,5.99,20.00%,23.96,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-07-20,9335024027,INVOICE,103604,Coolicious FrzYoghurt Strawberry 1x4ltr,4,,5.99,20.00%,23.96,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-07-20,9335024027,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,4,,12.02,0.00%,48.08,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-07-27,9335027277,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.49,0.00%,31.47,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-07-27,9335027277,INVOICE,148660,Ubley Low Fat Natural Yogurt      1x5kg,2,,12.02,0.00%,24.04,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-07-27,9335027277,INVOICE,31541,Ubley Natural Yogurt Low Fat     12x150g,2,,5.9,0.00%,11.8,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-07-27,9335027277,INVOICE,15958,Yeo Natural Yogurt Organic       12x120g,2,,6.9,0.00%,13.8,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-07-30,9335027920,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,2,,10.73,0.00%,21.46,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-08-03,9335029832,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.49,0.00%,31.47,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-08-06,9335030231,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.49,0.00%,31.47,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-08-08,9335031479,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,3,,10.49,0.00%,31.47,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-08-13,9335033086,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,4,,10.49,0.00%,41.96,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-08-17,9335035051,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.49,0.00%,20.98,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-08-22,9335036680,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,2,,10.49,0.00%,20.98,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-08-22,9335036681,INVOICE,103605,Coolicious Frozen Yoghurt  Mango 1x4ltr,6,,6.33,20.00%,37.98,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-08-22,9335036681,INVOICE,103603,Coolicious Frozen Yoghurt Plain 1x4ltr,6,,6.33,20.00%,37.98,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-08-22,9335036681,INVOICE,103604,Coolicious FrzYoghurt Strawberry 1x4ltr,6,,6.33,20.00%,37.98,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-08-22,9335036681,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,2,,10.73,0.00%,21.46,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-08-24,9335037597,INVOICE,15958,Yeo Natural Yogurt Organic       12x120g,1,,6.9,0.00%,6.9,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-08-24,9335037597,INVOICE,113713,Yeo Organic Mango & Vanill Yogurt 12x80g,1,,3.45,0.00%,3.45,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-08-24,9335037597,INVOICE,71762,Yeo Organic Raspberry Yoghurt     12x80g,1,,3.81,0.00%,3.81,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-08-24,9335037597,INVOICE,71766,Yeo Strawbry Yogurt Organic       12x80g,1,,3.45,0.00%,3.45,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-08-27,9335038116,INVOICE,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,1,,10.49,0.00%,10.49,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-09-14,9335046534,INVOICE,115794,Brake Organic Natural Yogurt      1x2kg,2,,6.62,0.00%,13.24,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-09-14,9335046534,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,1,,10.73,0.00%,10.73,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-09-19,9335049185,INVOICE,70219,Brakes Whole Milk (Blue)      RT 1x2.27L,6,,2.87,0.00%,17.22,Yoghurt & milk,Dairy milk,,Invoice CSV,
2024-09-19,9335049185,INVOICE,31541,Ubley Natural Yogurt Low Fat     12x150g,2,,5.9,0.00%,11.8,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-09-26,9335052575,INVOICE,71955,Low Fat Natural Yoghurt          12x115g,2,,4.02,0.00%,8.04,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
2024-09-26,9335052575,INVOICE,114931,Wholesome Farms Greek Style Yogurt 1x5kg,2,,10.73,0.00%,21.46,Yoghurt & milk,Dairy yoghurt,,Invoice CSV,
