Supplier,Site ID,Site,Product Code,Product Name,Pack Size,Category,Unit Price GBP,Avg Unit Price GBP,Times Ordered,Total Qty,Total Spend GBP,Active
Brakes,9999,The Vedanta,135327,Tofoo Co Organic Naked Tofu        1x1kg,1x1kg,Other food,5.22,5.32,89,1124.0,5991.86,Yes
Brakes,9999,The Vedanta,110930,Paneer Cheese                      900g,900g,Other food,5.03,6.1,65,662.0,4153.6,Yes
Brakes,9999,The Vedanta,70325,Brakes Whole Milk (Blue)     RT  6x2.27L,6x2.27L,Yoghurt & milk,10.58,10.9,129,332.0,3619.28,Yes
Brakes,9999,The Vedanta,67485,Delifrance Vegan Croissant (19401)  1x56,1x56,Other food,22.46,22.41,54,101.0,2261.17,Yes
Brakes,9999,The Vedanta,100535,Brakes Pure Maple Syrup           1x620g,1x620g,Other food,11.51,11.78,43,159.0,1878.96,Yes
Brakes,9999,The Vedanta,146135,Walkers Assortd Biscuit Mini Pck 100x25g,100x25g,Biscuits,19.14,20.3,48,88.0,1790.38,Yes
Brakes,9999,The Vedanta,85753,KTC Vegetable Cooking Oil        1x20ltr,1x20ltr,Other food,27.5,30.51,42,58.0,1778.34,Yes
Brakes,9999,The Vedanta,136997,Beyond Meat Beyond Mince   1x4kg,1x4kg,Other food,44.2,42.0,29,42.0,1755.66,Yes
Brakes,9999,The Vedanta,127622,Beyond Meat Vegan Burger   1x40,1x40,Other food,64.07,60.07,19,29.0,1746.03,Yes
Brakes,9999,The Vedanta,114931,Wholesome Farms Greek Style Yogurt 1x5kg,1x5kg,Yoghurt & milk,14.19,15.14,64,110.0,1669.94,Yes
Brakes,9999,The Vedanta,129927,Sysco ClassicOlive Pomace Oil Blend 5ltr,5ltr,Other food,17.63,16.59,68,101.0,1664.11,Yes
Brakes,9999,The Vedanta,74046,Sysco Classc Grtd Mild Whte Cheddr 5x1kg,5x1kg,Other food,40.86,39.28,30,41.0,1613.47,Yes
Brakes,9999,The Vedanta,74088,Unsalted Butter   (70055)        20x250g,20x250g,Other food,38.69,40.94,32,34.0,1395.09,Yes
Brakes,9999,The Vedanta,151872,Global Hacienda Avocado Halves     1x1kg,1x1kg,Other food,6.11,6.01,36,218.0,1309.72,Yes
Brakes,9999,The Vedanta,6437,Sysco Classic Chop Toms in Juice   2.5kg,5kg,Other food,3.19,3.14,44,404.0,1280.56,Yes
Brakes,9999,The Vedanta,148660,Ubley Low Fat Natural Yogurt      1x5kg,1x5kg,Yoghurt & milk,12.02,12.39,56,98.0,1211.15,Yes
Brakes,9999,The Vedanta,30925,Brake Rosti Potato Fritters          1kg,1kg,Other food,5.68,5.7,23,194.0,1107.73,Yes
Brakes,9999,The Vedanta,117887,Ethanol Chafing Gel 2.5hr           1x12,1x12,Other food,10.72,10.7,17,104.0,1105.22,Yes
Brakes,9999,The Vedanta,131778,McCain OC Hash Browns              1x1kg,1x1kg,Other food,4.02,3.15,26,339.0,1055.86,Yes
Brakes,9999,The Vedanta,149957,Meadowland Double 1x1ltr,1x1ltr,Other food,2.99,3.18,56,333.0,1050.37,Yes
Brakes,9999,The Vedanta,111313,Roasted Red Peppers              1x2.5kg,1x2.5kg,Other food,6.18,6.28,29,167.0,1044.08,Yes
