Day,Assessed Cost GBP
2022-06-20,158.85
2022-09-13,144.43
2022-10-07,10.03
2022-12-08,28.15
2022-12-12,0.0
2022-12-13,38.5
2022-12-28,0.0
2023-01-03,286.26
2023-01-04,103.72
2023-01-05,41.55
2023-01-06,84.76
2023-01-08,51.32
2023-01-09,42.54
2023-01-17,43.23
2023-02-02,125.75
2023-02-08,158.92
2023-02-12,136.88
2023-02-15,100.93
2023-02-16,273.38
2023-02-23,509.92
2023-03-02,126.57
2023-03-03,154.75
2023-03-13,1023.75
2023-03-14,133.0
2023-03-22,106.63
2023-03-31,218.76
2023-04-06,277.32
2023-04-07,113.62
2023-04-10,66.9
2023-04-17,157.5
2023-04-18,77.34
2023-04-19,60.0
2023-04-21,59.85
2023-04-23,127.5
2023-04-24,63.06
2023-04-26,197.54
2023-04-27,109.46
2023-04-28,81.51
2023-05-01,115.42
2023-05-03,112.58
2023-05-04,40.98
2023-05-07,202.26
2023-05-08,78.94
2023-05-09,160.04
2023-05-10,200.3
2023-05-14,187.05
2023-05-15,65.28
2023-05-19,205.59
2023-05-21,99.25
2023-05-22,9.0
2023-05-23,184.75
2023-05-24,168.27
2023-05-25,100.02
2023-05-26,126.58
2023-05-30,174.78
2023-06-01,470.62
2023-06-02,449.95
2023-06-04,200.32
2023-06-05,210.55
2023-06-06,379.86
2023-06-07,175.11
2023-06-08,171.85
2023-06-13,135.25
2023-06-15,224.99
2023-06-16,178.05
2023-06-18,88.38
2023-06-20,47.4
2023-06-22,150.61
2023-06-23,130.35
2023-06-26,142.46
2023-06-27,56.4
2023-06-28,211.03
2023-06-30,175.41
2023-07-02,95.3
2023-07-04,71.15
2023-07-07,87.1
2023-07-10,82.4
2023-07-12,190.1
2023-07-14,77.15
2023-07-19,80.1
2023-07-20,132.16
2023-07-27,165.91
2023-07-28,160.87
2023-07-30,165.45
2023-08-01,104.6
2023-08-02,350.4
2023-08-04,65.77
2023-08-08,99.66
2023-08-09,80.5
2023-08-10,188.36
2023-08-11,140.3
2023-08-13,66.35
2023-08-14,57.25
2023-08-16,145.03
2023-08-18,158.75
2023-08-23,258.45
2023-08-25,110.25
2023-08-28,89.95
2023-08-31,107.85
2023-09-05,205.05
2023-09-13,231.36
2023-09-17,99.48
2023-09-18,62.6
2023-09-28,74.07
2023-10-01,122.02
2023-10-06,42.4
2023-10-12,62.7
2023-10-13,113.06
2023-10-19,150.95
2023-11-06,196.56
2023-11-07,191.55
2023-11-09,301.12
2023-11-10,291.0
2023-11-12,518.75
2023-11-13,264.28
2023-11-14,316.2
2023-11-15,98.65
2023-11-16,168.15
2023-11-23,188.77
2023-11-24,46.77
2023-12-22,89.81
2024-02-01,158.58
2024-02-04,123.79
2024-02-05,100.9
2024-02-07,153.05
2024-02-08,234.64
2024-02-09,248.97
2024-02-11,88.9
2024-02-12,122.56
2024-02-14,296.84
2024-02-15,235.98
2024-02-16,352.42
2024-02-18,302.54
2024-02-19,148.0
2024-02-20,253.15
2024-02-21,134.78
2024-03-01,217.95
2024-03-05,283.58
2024-04-03,136.85
2024-04-09,121.4
2024-04-10,121.83
2024-04-12,90.7
2024-04-15,182.06
2024-04-17,287.41
2024-04-19,212.15
2024-04-21,122.9
2024-04-22,67.5
2024-04-23,97.45
2024-04-24,122.76
2024-04-26,29.49
2024-04-28,93.88
2024-05-01,119.83
2024-05-05,425.86
2024-05-07,150.96
2024-05-09,277.99
2024-05-14,118.3
2024-05-17,237.7
2024-05-19,78.75
2024-05-20,134.7
2024-05-23,272.31
2024-05-24,303.61
2024-05-28,71.94
2024-05-29,261.5
2024-05-30,279.5
2024-05-31,341.86
2024-06-02,254.05
2024-06-03,250.5
2024-06-04,325.65
2024-06-05,247.28
2024-06-10,86.51
2024-06-14,79.4
2024-06-17,83.55
2024-06-18,86.4
2024-06-19,146.5
2024-06-23,110.55
2024-06-24,221.25
2024-06-25,135.68
2024-06-27,45.94
2024-07-01,175.2
2024-07-02,17.98
2024-07-03,47.56
2024-07-05,220.05
2024-07-07,223.56
2024-07-08,180.7
2024-07-11,307.31
2024-07-12,245.0
2024-07-16,163.41
2024-07-18,195.24
2024-07-19,131.49
2024-07-22,275.1
2024-07-23,188.59
2024-07-24,103.5
2024-07-25,127.96
2024-07-26,206.3
2024-07-28,290.57
2024-08-04,54.87
2024-08-07,76.4
2024-08-08,160.36
2024-08-16,197.5
2024-08-18,188.24
2024-08-20,355.8
2024-08-22,0.0
2024-08-23,337.2
2024-08-26,44.25
2024-08-29,79.87
2024-09-11,189.3
2024-09-13,53.01
2024-09-20,84.53
2024-09-24,138.4
2024-09-25,22.0
2024-09-26,169.54
2024-09-27,141.95
2024-09-28,245.37
2024-09-30,48.4
2024-10-01,77.5
2024-10-02,60.42
2024-10-04,120.64
2024-10-06,36.7
2024-10-08,134.4
2024-10-09,41.0
2024-10-10,184.05
2024-10-13,202.45
2024-10-14,108.5
2024-10-15,72.19
2024-10-16,171.75
2024-10-18,101.4
2024-10-20,29.25
2024-10-24,185.0
2024-10-30,311.55
2024-10-31,80.72
2024-11-01,49.09
2024-11-07,84.65
2024-11-08,81.55
2024-11-17,463.11
2024-11-18,215.52
2024-11-19,215.21
2024-11-20,80.59
2024-11-24,154.95
2024-11-25,51.2
2024-11-26,285.11
2024-11-28,114.35
2024-11-29,50.1
2024-12-04,68.4
2024-12-05,406.2
2024-12-06,210.33
2024-12-08,79.6
2024-12-09,122.83
2024-12-10,270.0
2024-12-11,123.16
2024-12-12,195.5
2024-12-13,44.72
2024-12-27,222.1
2024-12-29,29.55
2025-01-09,242.2
2025-01-10,171.92
2025-01-12,172.45
2025-01-13,48.25
2025-01-14,151.35
2025-01-15,109.0
2025-01-16,96.2
2025-01-23,164.21
2025-01-24,99.12
2025-01-26,198.34
2025-01-27,61.36
2025-02-06,191.42
2025-02-07,12.0
2025-02-09,363.31
2025-02-11,155.44
2025-02-13,46.2
2025-02-18,130.7
2025-02-19,155.0
2025-02-20,61.1
2025-02-21,66.9
2025-02-27,244.3
2025-02-28,320.2
2025-03-02,329.0
2025-03-03,69.25
2025-03-04,168.8
2025-03-14,47.65
2025-03-20,159.83
2025-03-21,124.38
2025-03-23,132.42
2025-03-24,77.65
2025-03-25,62.51
2025-03-26,39.0
2025-03-27,15.6
2025-04-10,202.53
2025-04-11,247.17
2025-04-13,81.93
2025-04-14,103.95
2025-04-15,75.09
2025-04-16,52.2
2025-04-24,252.86
2025-04-25,188.36
2025-04-27,103.45
2025-04-28,47.3
2025-04-29,116.8
2025-04-30,58.05
2025-05-01,69.67
2025-05-02,91.23
2025-05-09,272.9
2025-05-11,322.14
2025-05-12,362.0
2025-05-13,320.3
2025-05-14,264.84
2025-05-16,136.7
2025-05-17,188.36
2025-05-20,179.39
2025-05-22,137.54
2025-05-23,264.82
2025-05-26,264.05
2025-05-27,114.5
2025-05-28,122.44
2025-05-29,181.75
2025-05-30,152.02
2025-06-01,173.6
2025-06-02,116.38
2025-06-03,66.5
2025-06-04,355.85
2025-06-05,342.89
2025-06-06,537.75
2025-06-08,486.55
2025-06-09,401.35
2025-06-10,280.6
2025-06-11,367.58
2025-06-12,402.4
2025-06-13,187.9
2025-06-18,187.05
2025-06-19,51.7
2025-06-20,99.65
2025-06-22,51.05
2025-06-23,50.5
2025-06-24,75.9
2025-06-25,195.58
2025-06-26,146.05
2025-06-27,61.85
2025-06-29,41.93
2025-06-30,106.9
2025-07-01,107.98
2025-07-02,57.1
2025-07-04,189.8
2025-07-05,52.3
2025-07-06,62.8
2025-07-07,159.78
2025-07-08,58.95
